"Bank Name","Bank Code","BIC"
"CAIXA RURAL DE ALGEMESI","3117","BCOEESMM117"
"ENTIDAD 3118","3118","CCRIES2A118"
"CAJA RURAL SAN JAIME COOP.CTO.VALENCIANA","3119","BCOEESMM119"
"CAJA RURAL CHESTE","3121","CCRIES2A121"
"ENTIDAD 3130","3130","BCOEESMM130"
"CAJA RURAL","3134","BCOEESMM134"
"ENTIDAD 3135","3135","CCRIES2A135"
"CAJA RURAL COOP. CREDITO","3137",""
"ENTIDAD 3138","3138","BCOEESMM138"
"CAJA RURAL DE GUISSONA,S.C.C.","3140","BCOEESMM140"
"NOVANTA","3146","CCCVESM1XXX"
"CAJA RURAL DE ALBAL","3150","BCOEESMM150"
"CAJA RURAL DE VILLAR","3152","CCRIES2A152"
"-","3159","BCOEESMM159"
"CAIXA RURAL VILAVELLA","3160","CCRIES2A160"
"ENTIDAD 3162","3162","BCOEESMM162"
"ENTIDAD 3172","3172",""
"ENTIDAD 3177","3177","CCRIES2AXXX"
"CAJA DE ARQUITECTOS","3183","CASDESBBXXX"
"CAJA RURAL DEL SUR","3187","BCOEESMM187"
"ENTIDAD 3188","3188",""
"---------","3189","BCOEESMM189"
"GLOBALCAJA","3190","BCOEESMM190"
"NUEVA CAJA DE ARAGN","3191","BCOEESMM191"
"RURAL CAJA","4162",""
"ENTIDAD 6182","6182",""
"CAJA MAR OURENSE","6601",""
"BANCO DE ESPAÑA","9000","ESPBESMMXXX"
"RABOBANK NEDERLAND","RABO","RABONL2U"
